Image File,Prediction (grid_based),Prediction (object_detection),Prediction (lime_on_images),Prediction (lime_on_latent),Prediction (lime_on_latent_nun)
town7_000127.png,STOP,STOP,GO,STOP,STOP
town7_000129.png,STOP,GO,STOP,STOP,STOP
town7_000139.png,GO,STOP,STOP,STOP,GO
town7_000140.png,STOP,STOP,GO,STOP,STOP
town7_000218.png,GO,GO,RIGHT,GO,RIGHT
town7_000290.png,LEFT,LEFT,RIGHT,LEFT,RIGHT
town7_000335.png,GO,GO,STOP,GO,GO
town7_000538.png,RIGHT,RIGHT,GO,RIGHT,RIGHT
town7_000688.png,STOP,GO,STOP,STOP,STOP
town7_000815.png,RIGHT,RIGHT,GO,RIGHT,RIGHT
town7_000997.png,LEFT,RIGHT,RIGHT,LEFT,RIGHT
town7_001094.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_001387.png,GO,GO,LEFT,LEFT,GO
town7_001389.png,GO,RIGHT,GO,GO,GO
town7_001462.png,GO,STOP,STOP,STOP,STOP
town7_001582.png,GO,RIGHT,GO,GO,GO
town7_001636.png,GO,STOP,STOP,STOP,STOP
town7_002033.png,RIGHT,GO,GO,GO,GO
town7_002266.png,STOP,STOP,STOP,STOP,GO
town7_002321.png,GO,GO,STOP,GO,GO
town7_002396.png,STOP,GO,STOP,STOP,GO
town7_002399.png,STOP,GO,STOP,STOP,STOP
town7_002405.png,GO,STOP,STOP,GO,GO
town7_002748.png,STOP,STOP,GO,STOP,STOP
town7_002818.png,RIGHT,GO,RIGHT,RIGHT,STOP
town7_002892.png,GO,GO,RIGHT,RIGHT,GO
town7_002899.png,LEFT,LEFT,RIGHT,LEFT,RIGHT
town7_003323.png,RIGHT,GO,GO,GO,GO
town7_003326.png,GO,GO,GO,GO,RIGHT
town7_003334.png,GO,RIGHT,RIGHT,RIGHT,RIGHT
town7_003356.png,RIGHT,RIGHT,RIGHT,GO,GO
town7_003402.png,LEFT,GO,GO,LEFT,LEFT
town7_003469.png,GO,GO,GO,GO,LEFT
town7_003546.png,GO,RIGHT,RIGHT,RIGHT,RIGHT
town7_003570.png,GO,GO,GO,GO,RIGHT
town7_003590.png,RIGHT,RIGHT,LEFT,LEFT,LEFT
town7_003608.png,LEFT,GO,LEFT,LEFT,LEFT
town7_003656.png,STOP,STOP,STOP,LEFT,LEFT
town7_003658.png,STOP,STOP,LEFT,STOP,STOP
town7_003660.png,STOP,LEFT,STOP,LEFT,STOP
town7_003668.png,RIGHT,RIGHT,RIGHT,RIGHT,LEFT
town7_003798.png,GO,RIGHT,GO,GO,RIGHT
town7_004013.png,RIGHT,GO,RIGHT,GO,GO
town7_004128.png,GO,GO,STOP,GO,GO
town7_004287.png,STOP,GO,GO,GO,GO
town7_004696.png,GO,LEFT,LEFT,LEFT,LEFT
town7_004718.png,RIGHT,GO,GO,GO,GO
town7_004754.png,LEFT,GO,LEFT,LEFT,LEFT
town7_004759.png,RIGHT,GO,GO,GO,GO
town7_005118.png,RIGHT,GO,GO,GO,GO
town7_005168.png,GO,GO,RIGHT,RIGHT,RIGHT
town7_005183.png,LEFT,GO,GO,GO,GO
town7_005382.png,GO,GO,RIGHT,GO,GO
town7_005428.png,GO,GO,RIGHT,RIGHT,GO
town7_005429.png,GO,RIGHT,GO,GO,GO
town7_005650.png,STOP,GO,STOP,GO,STOP
town7_005661.png,LEFT,RIGHT,LEFT,RIGHT,LEFT
town7_005693.png,RIGHT,RIGHT,GO,GO,GO
town7_005955.png,RIGHT,RIGHT,GO,RIGHT,RIGHT
town7_006017.png,RIGHT,RIGHT,RIGHT,GO,GO
town7_006030.png,GO,GO,RIGHT,GO,RIGHT
town7_006057.png,GO,LEFT,GO,GO,GO
town7_006096.png,GO,STOP,STOP,STOP,STOP
town7_006136.png,STOP,GO,STOP,GO,STOP
town7_006150.png,GO,RIGHT,RIGHT,RIGHT,RIGHT
town7_006181.png,GO,LEFT,LEFT,LEFT,LEFT
town7_006315.png,RIGHT,RIGHT,STOP,RIGHT,RIGHT
town7_006333.png,GO,RIGHT,RIGHT,RIGHT,RIGHT
town7_006619.png,GO,RIGHT,RIGHT,RIGHT,RIGHT
town7_006622.png,RIGHT,GO,RIGHT,RIGHT,RIGHT
town7_006830.png,STOP,STOP,STOP,GO,STOP
town7_006847.png,GO,LEFT,GO,GO,GO
town7_006880.png,STOP,STOP,STOP,STOP,RIGHT
town7_006883.png,STOP,STOP,STOP,STOP,RIGHT
town7_006980.png,GO,GO,GO,GO,RIGHT
town7_006983.png,GO,GO,RIGHT,GO,GO
town7_007016.png,RIGHT,RIGHT,GO,RIGHT,GO
town7_007021.png,LEFT,RIGHT,RIGHT,RIGHT,RIGHT
town7_007127.png,RIGHT,GO,GO,RIGHT,GO
town7_007241.png,GO,GO,GO,GO,STOP
town7_007487.png,STOP,GO,GO,STOP,STOP
town7_007506.png,RIGHT,RIGHT,RIGHT,STOP,RIGHT
town7_007599.png,LEFT,GO,GO,LEFT,LEFT
town7_007608.png,LEFT,LEFT,GO,LEFT,LEFT
town7_007610.png,GO,GO,GO,GO,RIGHT
town7_008641.png,STOP,GO,GO,GO,STOP
town7_008831.png,LEFT,LEFT,GO,LEFT,LEFT
town7_008836.png,LEFT,LEFT,GO,LEFT,LEFT
town7_009349.png,RIGHT,RIGHT,RIGHT,LEFT,RIGHT
town7_009422.png,LEFT,GO,LEFT,GO,GO
town7_009426.png,LEFT,GO,LEFT,LEFT,GO
town7_009429.png,LEFT,GO,LEFT,GO,LEFT
town7_009585.png,GO,LEFT,LEFT,LEFT,GO
town7_009713.png,RIGHT,GO,RIGHT,GO,GO
town7_009714.png,RIGHT,RIGHT,RIGHT,RIGHT,GO
town7_009860.png,GO,GO,GO,STOP,GO
town7_009885.png,STOP,GO,STOP,STOP,STOP
town7_010501.png,GO,GO,GO,GO,STOP
town7_010701.png,GO,GO,GO,GO,RIGHT
town7_010840.png,GO,GO,STOP,GO,STOP
town7_010983.png,RIGHT,RIGHT,LEFT,RIGHT,LEFT
town7_011081.png,GO,GO,STOP,GO,GO
town7_011124.png,STOP,STOP,GO,STOP,STOP
town7_011125.png,STOP,STOP,GO,STOP,STOP
town7_011126.png,STOP,GO,GO,STOP,GO
