Image File,Prediction (grid_based),Prediction (object_detection),Prediction (lime_on_image),Prediction (lime_on_latent),Prediction (lime_on_latent_nun)
town7_000066.png,GO,GO,GO,GO,LEFT
town7_000067.png,GO,GO,GO,GO,LEFT
town7_000070.png,GO,GO,GO,GO,LEFT
town7_000104.png,GO,GO,GO,GO,RIGHT
town7_000116.png,GO,GO,STOP,STOP,RIGHT
town7_000139.png,STOP,STOP,STOP,STOP,GO
town7_000141.png,STOP,GO,GO,STOP,GO
town7_000144.png,STOP,STOP,STOP,GO,GO
town7_000154.png,GO,GO,GO,GO,LEFT
town7_000156.png,GO,GO,GO,GO,LEFT
town7_000218.png,GO,GO,GO,GO,RIGHT
town7_000252.png,STOP,STOP,STOP,STOP,GO
town7_000289.png,GO,GO,GO,GO,RIGHT
town7_000290.png,GO,GO,GO,GO,RIGHT
town7_000335.png,STOP,STOP,STOP,STOP,GO
town7_000538.png,GO,GO,GO,GO,RIGHT
town7_000548.png,GO,GO,GO,GO,RIGHT
town7_000549.png,GO,GO,GO,GO,RIGHT
town7_000587.png,GO,GO,GO,GO,RIGHT
town7_000588.png,GO,GO,GO,GO,RIGHT
town7_000592.png,GO,GO,GO,GO,RIGHT
town7_000655.png,GO,GO,GO,GO,RIGHT
town7_000659.png,GO,GO,GO,GO,RIGHT
town7_000688.png,GO,GO,GO,GO,STOP
town7_000815.png,GO,GO,GO,GO,RIGHT
town7_000821.png,GO,GO,GO,GO,RIGHT
town7_000863.png,GO,GO,GO,GO,RIGHT
town7_000864.png,GO,GO,GO,GO,RIGHT
town7_000865.png,GO,GO,GO,GO,RIGHT
town7_000913.png,GO,STOP,STOP,GO,STOP
town7_000993.png,GO,GO,GO,GO,RIGHT
town7_000997.png,GO,GO,GO,GO,RIGHT
town7_001105.png,GO,GO,GO,GO,LEFT
town7_001113.png,GO,GO,GO,GO,LEFT
town7_001150.png,GO,GO,GO,GO,RIGHT
town7_001152.png,GO,GO,GO,GO,RIGHT
town7_001153.png,GO,GO,GO,GO,RIGHT
town7_001193.png,GO,GO,GO,GO,RIGHT
town7_001200.png,GO,GO,GO,GO,LEFT
town7_001246.png,GO,GO,GO,GO,RIGHT
town7_001247.png,GO,GO,GO,GO,RIGHT
town7_001248.png,GO,GO,GO,GO,RIGHT
town7_001252.png,GO,GO,GO,GO,RIGHT
town7_001253.png,GO,GO,GO,GO,RIGHT
town7_001273.png,GO,GO,GO,GO,RIGHT
town7_001278.png,GO,GO,GO,GO,STOP
town7_001287.png,GO,GO,GO,GO,STOP
town7_001300.png,GO,GO,GO,GO,LEFT
town7_001372.png,GO,GO,GO,GO,RIGHT
town7_001428.png,GO,GO,GO,GO,RIGHT
town7_001481.png,GO,GO,GO,GO,LEFT
town7_001484.png,GO,GO,GO,GO,LEFT
town7_001612.png,STOP,STOP,STOP,GO,GO
town7_001613.png,STOP,STOP,STOP,STOP,GO
town7_001636.png,GO,GO,GO,GO,STOP
town7_001639.png,GO,GO,GO,GO,RIGHT
town7_001640.png,GO,GO,GO,GO,RIGHT
town7_001655.png,GO,GO,GO,GO,LEFT
town7_001686.png,STOP,STOP,STOP,STOP,GO
town7_001789.png,GO,GO,GO,GO,LEFT
town7_001793.png,GO,GO,GO,GO,LEFT
town7_001818.png,GO,GO,GO,GO,LEFT
town7_001822.png,GO,GO,GO,GO,LEFT
town7_001832.png,GO,STOP,STOP,STOP,LEFT
town7_001996.png,GO,GO,GO,GO,RIGHT
town7_002009.png,GO,GO,GO,GO,LEFT
town7_002011.png,GO,GO,GO,GO,LEFT
town7_002020.png,GO,GO,GO,GO,RIGHT
town7_002023.png,GO,GO,GO,GO,RIGHT
town7_002058.png,GO,GO,GO,GO,LEFT
town7_002059.png,GO,GO,GO,GO,LEFT
town7_002071.png,GO,GO,GO,GO,RIGHT
town7_002075.png,GO,GO,GO,GO,RIGHT
town7_002097.png,GO,GO,GO,GO,LEFT
town7_002103.png,GO,GO,GO,GO,LEFT
town7_002104.png,GO,GO,GO,GO,LEFT
town7_002106.png,GO,GO,GO,GO,LEFT
town7_002266.png,STOP,STOP,STOP,STOP,GO
town7_002273.png,GO,GO,GO,GO,LEFT
town7_002274.png,GO,GO,GO,GO,LEFT
town7_002281.png,GO,GO,GO,GO,LEFT
town7_002286.png,GO,GO,GO,GO,LEFT
town7_002389.png,GO,GO,STOP,GO,GO
town7_002395.png,GO,GO,GO,GO,STOP
town7_002399.png,GO,GO,GO,GO,STOP
town7_002483.png,GO,GO,GO,GO,LEFT
town7_002485.png,GO,GO,GO,GO,RIGHT
town7_002511.png,STOP,GO,GO,GO,GO
town7_002512.png,GO,GO,GO,STOP,GO
town7_002686.png,GO,GO,GO,GO,RIGHT
town7_002690.png,GO,GO,GO,GO,RIGHT
town7_002692.png,GO,GO,GO,GO,RIGHT
town7_002694.png,GO,GO,GO,GO,RIGHT
town7_002702.png,GO,GO,GO,GO,RIGHT
town7_002708.png,GO,GO,GO,GO,RIGHT
town7_002747.png,STOP,STOP,GO,GO,STOP
town7_002748.png,GO,GO,GO,GO,STOP
town7_002753.png,GO,GO,GO,GO,RIGHT
town7_002764.png,GO,GO,GO,GO,RIGHT
town7_002769.png,GO,GO,GO,GO,RIGHT
town7_002818.png,STOP,GO,GO,STOP,STOP
town7_002819.png,GO,GO,GO,GO,RIGHT
town7_002824.png,GO,GO,GO,GO,RIGHT
town7_002825.png,GO,GO,GO,GO,RIGHT
town7_002834.png,GO,GO,GO,GO,RIGHT
town7_002899.png,GO,GO,GO,GO,RIGHT
town7_003094.png,STOP,GO,STOP,GO,STOP
town7_003102.png,GO,GO,GO,GO,LEFT
town7_003105.png,GO,GO,GO,GO,LEFT
town7_003114.png,GO,GO,GO,GO,LEFT
town7_003118.png,GO,GO,GO,GO,LEFT
town7_003122.png,GO,GO,GO,GO,LEFT
town7_003137.png,GO,GO,GO,GO,RIGHT
town7_003146.png,GO,GO,GO,GO,RIGHT
town7_003162.png,GO,GO,GO,GO,LEFT
town7_003163.png,GO,GO,GO,GO,LEFT
town7_003181.png,GO,GO,GO,GO,RIGHT
town7_003215.png,GO,GO,GO,GO,LEFT
town7_003216.png,GO,GO,GO,GO,LEFT
town7_003222.png,GO,GO,GO,GO,LEFT
town7_003223.png,GO,GO,GO,GO,LEFT
town7_003227.png,GO,GO,GO,GO,LEFT
town7_003315.png,GO,GO,GO,GO,LEFT
town7_003320.png,GO,GO,GO,GO,LEFT
town7_003326.png,GO,GO,GO,GO,RIGHT
town7_003334.png,GO,GO,GO,GO,RIGHT
town7_003339.png,GO,GO,GO,GO,LEFT
town7_003340.png,GO,GO,GO,GO,LEFT
town7_003344.png,GO,GO,GO,GO,LEFT
town7_003349.png,GO,GO,GO,GO,LEFT
town7_003352.png,GO,GO,GO,GO,LEFT
town7_003361.png,GO,GO,GO,GO,RIGHT
town7_003362.png,GO,GO,GO,GO,RIGHT
town7_003371.png,GO,GO,GO,GO,RIGHT
town7_003372.png,GO,GO,GO,GO,RIGHT
town7_003376.png,GO,GO,GO,GO,RIGHT
town7_003378.png,GO,GO,GO,GO,RIGHT
town7_003379.png,GO,GO,GO,GO,RIGHT
town7_003381.png,GO,GO,GO,GO,RIGHT
town7_003402.png,GO,GO,GO,GO,LEFT
town7_003419.png,GO,GO,GO,GO,LEFT
town7_003424.png,GO,GO,GO,GO,LEFT
town7_003426.png,GO,GO,GO,GO,LEFT
town7_003459.png,GO,GO,STOP,GO,GO
town7_003469.png,GO,GO,GO,GO,LEFT
town7_003470.png,GO,GO,GO,GO,LEFT
town7_003481.png,GO,GO,GO,GO,RIGHT
town7_003546.png,GO,GO,GO,GO,RIGHT
town7_003553.png,GO,GO,GO,GO,RIGHT
town7_003556.png,GO,GO,GO,GO,RIGHT
town7_003570.png,GO,GO,GO,GO,RIGHT
town7_003590.png,GO,GO,GO,GO,LEFT
town7_003599.png,GO,GO,GO,GO,RIGHT
town7_003605.png,GO,GO,GO,GO,RIGHT
town7_003608.png,GO,GO,GO,GO,LEFT
town7_003609.png,GO,GO,GO,GO,LEFT
town7_003612.png,GO,GO,GO,GO,LEFT
town7_003616.png,GO,GO,GO,GO,LEFT
town7_003634.png,GO,GO,GO,GO,RIGHT
town7_003637.png,GO,GO,GO,GO,LEFT
town7_003638.png,GO,GO,GO,GO,LEFT
town7_003639.png,GO,GO,GO,GO,LEFT
town7_003642.png,GO,GO,GO,GO,LEFT
town7_003656.png,STOP,STOP,STOP,STOP,LEFT
town7_003666.png,STOP,STOP,STOP,STOP,LEFT
town7_003668.png,GO,GO,GO,GO,LEFT
town7_003670.png,GO,GO,GO,GO,RIGHT
town7_003678.png,GO,GO,GO,GO,RIGHT
town7_003684.png,GO,GO,GO,GO,RIGHT
town7_003687.png,GO,GO,GO,GO,LEFT
town7_003710.png,GO,GO,GO,GO,LEFT
town7_003713.png,GO,GO,STOP,GO,GO
town7_003719.png,STOP,STOP,STOP,STOP,GO
town7_003727.png,GO,GO,GO,GO,LEFT
town7_003737.png,GO,GO,GO,GO,LEFT
town7_003765.png,STOP,STOP,STOP,STOP,GO
town7_003766.png,STOP,STOP,STOP,STOP,GO
town7_003783.png,GO,GO,GO,GO,LEFT
town7_003798.png,GO,GO,GO,GO,RIGHT
town7_003825.png,GO,GO,GO,GO,RIGHT
town7_003831.png,GO,GO,GO,GO,LEFT
town7_003832.png,GO,GO,GO,GO,LEFT
town7_003906.png,GO,GO,GO,GO,RIGHT
town7_003910.png,GO,GO,GO,GO,LEFT
town7_003912.png,GO,GO,GO,GO,LEFT
town7_003930.png,GO,GO,GO,STOP,GO
town7_003931.png,STOP,STOP,STOP,GO,GO
town7_003961.png,GO,GO,GO,GO,RIGHT
town7_003964.png,GO,GO,GO,GO,RIGHT
town7_003965.png,GO,GO,GO,GO,RIGHT
town7_003967.png,GO,GO,GO,GO,LEFT
town7_003986.png,STOP,STOP,STOP,STOP,GO
town7_003989.png,GO,GO,GO,GO,RIGHT
town7_003996.png,GO,GO,GO,GO,RIGHT
town7_004006.png,STOP,STOP,GO,GO,GO
town7_004010.png,GO,GO,STOP,GO,GO
town7_004014.png,GO,GO,GO,GO,RIGHT
town7_004015.png,GO,GO,GO,GO,RIGHT
town7_004022.png,GO,GO,GO,GO,RIGHT
town7_004029.png,STOP,GO,GO,GO,GO
town7_004105.png,GO,GO,GO,STOP,GO
town7_004124.png,STOP,STOP,GO,GO,STOP
town7_004168.png,STOP,STOP,GO,GO,GO
town7_004173.png,STOP,GO,STOP,GO,STOP
town7_004211.png,GO,GO,GO,GO,LEFT
town7_004218.png,GO,GO,GO,GO,LEFT
town7_004336.png,STOP,STOP,STOP,STOP,GO
town7_004483.png,GO,GO,GO,GO,RIGHT
town7_004490.png,GO,GO,GO,GO,LEFT
town7_004493.png,GO,GO,GO,GO,LEFT
town7_004498.png,GO,GO,GO,GO,LEFT
town7_004499.png,GO,GO,GO,GO,LEFT
town7_004503.png,GO,GO,GO,GO,LEFT
town7_004509.png,GO,GO,GO,GO,LEFT
town7_004510.png,GO,GO,GO,GO,LEFT
town7_004517.png,GO,GO,STOP,GO,LEFT
town7_004521.png,GO,GO,GO,GO,LEFT
town7_004522.png,GO,GO,GO,GO,LEFT
town7_004524.png,GO,GO,GO,GO,LEFT
town7_004696.png,GO,GO,GO,GO,LEFT
town7_004721.png,GO,GO,GO,GO,RIGHT
town7_004747.png,GO,GO,GO,GO,LEFT
town7_004750.png,GO,GO,GO,GO,LEFT
town7_004754.png,GO,GO,GO,GO,LEFT
town7_004805.png,GO,GO,GO,GO,LEFT
town7_004807.png,GO,GO,GO,GO,LEFT
town7_004974.png,GO,GO,GO,GO,LEFT
town7_004976.png,GO,GO,GO,GO,LEFT
town7_004979.png,GO,GO,GO,GO,LEFT
town7_004983.png,GO,GO,GO,GO,LEFT
town7_005026.png,GO,GO,GO,GO,RIGHT
town7_005032.png,GO,GO,GO,GO,RIGHT
town7_005078.png,GO,GO,GO,GO,LEFT
town7_005079.png,GO,GO,GO,GO,LEFT
town7_005081.png,GO,GO,GO,GO,LEFT
town7_005083.png,GO,GO,GO,GO,LEFT
town7_005118.png,STOP,STOP,STOP,STOP,GO
town7_005122.png,GO,GO,GO,GO,RIGHT
town7_005124.png,GO,GO,GO,GO,RIGHT
town7_005126.png,GO,GO,GO,GO,LEFT
town7_005135.png,STOP,STOP,GO,GO,GO
town7_005152.png,GO,GO,GO,GO,LEFT
town7_005159.png,GO,GO,GO,GO,LEFT
