Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Features Replaced,Feature Selection (%),SSIM,MSE,PSNR,UQI,VIFP,Time Taken (s)
town7_000003.png,GO,"[0.00013, 0.97145, 0.01857, 0.00985]",RIGHT,"[7e-05, 0.37632, 0.61512, 0.00849]",True,88.0,68.75%,0.66299,361.46073,22.55019,0.97965,0.18027,8.39212
town7_000009.png,GO,"[0.0, 0.98343, 0.00708, 0.00949]",RIGHT,"[0.00059, 0.34542, 0.59739, 0.0566]",True,99.0,77.34%,0.68869,483.98992,21.28244,0.96941,0.18006,7.41153
town7_000010.png,GO,"[0.0, 0.98153, 0.00702, 0.01144]",RIGHT,"[0.0001, 0.30946, 0.40414, 0.28631]",True,81.0,63.28%,0.71848,398.1175,22.13069,0.97192,0.23477,7.78296
town7_000016.png,GO,"[0.00021, 0.98475, 0.00887, 0.00618]",RIGHT,"[0.0001, 0.3747, 0.56061, 0.06458]",True,46.0,35.94%,0.72496,290.47078,23.49978,0.9816,0.21057,6.44303
town7_000024.png,GO,"[0.00049, 0.98307, 0.0111, 0.00534]",RIGHT,"[0.00026, 0.40028, 0.51612, 0.08333]",True,94.0,73.44%,0.67958,346.52956,22.7334,0.98634,0.18893,7.04798
town7_000027.png,GO,"[0.00122, 0.96716, 0.02362, 0.008]",STOP,"[0.49761, 0.39949, 0.101, 0.00189]",True,48.0,37.50%,0.75541,213.8112,24.8305,0.99219,0.23226,6.8596
town7_000028.png,GO,"[0.00078, 0.96653, 0.02636, 0.00634]",RIGHT,"[0.00032, 0.30042, 0.61753, 0.08173]",True,74.0,57.81%,0.71822,286.81992,23.55471,0.98885,0.20732,6.32326
town7_000041.png,GO,"[0.00034, 0.9473, 0.04265, 0.00972]",RIGHT,"[0.00031, 0.33114, 0.63887, 0.02968]",True,77.0,60.16%,0.75341,306.08292,23.27241,0.98713,0.23564,7.10992
town7_000044.png,GO,"[6e-05, 0.96955, 0.00617, 0.02421]",RIGHT,"[0.00045, 0.36485, 0.52258, 0.11212]",True,98.0,76.56%,0.68988,330.6243,22.93746,0.98783,0.23906,6.59643
town7_000054.png,GO,"[0.01478, 0.94296, 0.01581, 0.02644]",RIGHT,"[0.00713, 0.42376, 0.5104, 0.05872]",True,48.0,37.50%,0.79602,187.1593,25.40869,0.99302,0.30022,5.46765
town7_000066.png,LEFT,"[0.0, 0.01439, 0.00126, 0.98434]",GO,"[0.0, 0.45364, 0.34327, 0.20309]",True,34.0,26.56%,0.82164,177.56964,25.63712,0.99156,0.32273,5.77406
town7_000067.png,LEFT,"[0.0, 0.00355, 2e-05, 0.99643]",RIGHT,"[0.0, 0.174, 0.50917, 0.31683]",True,45.0,35.16%,0.81573,190.91047,25.32251,0.99048,0.33659,7.74952
town7_000070.png,LEFT,"[4e-05, 0.00647, 3e-05, 0.99346]",RIGHT,"[0.0004, 0.06699, 0.46832, 0.46429]",True,95.0,74.22%,0.62738,1327.87464,16.89923,0.92263,0.17075,6.34346
town7_000080.png,GO,"[0.00061, 0.99671, 0.00041, 0.00226]",STOP,"[0.53732, 0.46202, 0.00011, 0.00055]",True,61.0,47.66%,0.72627,297.1113,23.40161,0.98243,0.24597,6.73062
town7_000084.png,STOP,"[0.83953, 0.15975, 0.00037, 0.00035]",GO,"[0.41079, 0.56367, 0.02409, 0.00144]",True,119.0,92.97%,0.72189,398.43906,22.12718,0.96783,0.23194,8.21522
