image_filename,steering,throttle,brake,label
town7_011999.png,-0.103967048227787,0.8500000238418579,0.0,LEFT
town7_006712.png,-0.0421215184032917,0.8500000238418579,0.0,GO
town7_011150.png,-0.0011014206102117,0.8500000238418579,0.0,GO
town7_003948.png,0.0373374707996845,0.8500000238418579,0.0,GO
town7_006494.png,0.800000011920929,0.8500000238418579,0.0,RIGHT
town7_005447.png,-0.3176422119140625,0.8500000238418579,0.0,LEFT
town7_001770.png,-0.0377497412264347,0.0,1.0,STOP
town7_010707.png,0.4296742379665375,0.8500000238418579,0.0,RIGHT
town7_001813.png,-0.119717426598072,0.8500000238418579,0.0,LEFT
town7_001154.png,0.6131936311721802,0.8500000238418579,0.0,RIGHT
town7_000356.png,-0.0010773526737466,0.0,1.0,STOP
town7_000474.png,-0.0010773526737466,0.0,1.0,STOP
town7_010333.png,-0.0005190677475184,0.0,1.0,STOP
town7_009936.png,0.0004833412240259,0.6718873381614685,0.0,GO
town7_006201.png,-0.108017511665821,0.7997225522994995,0.0,LEFT
town7_001585.png,0.6005949974060059,0.8500000238418579,0.0,RIGHT
town7_000487.png,-0.0010773526737466,0.0,1.0,STOP
town7_010914.png,-0.0035624005831778,0.0,1.0,STOP
town7_008020.png,-0.1049668714404106,0.4929352700710296,0.0,LEFT
town7_006598.png,0.0383253805339336,0.8500000238418579,0.0,GO
town7_003911.png,-0.340998113155365,0.8500000238418579,0.0,LEFT
town7_004981.png,-0.1717530488967895,0.8500000238418579,0.0,LEFT
town7_003416.png,-0.1104079037904739,0.6456382870674133,0.0,LEFT
town7_006003.png,0.1066009849309921,0.8153695464134216,0.0,RIGHT
town7_000381.png,-0.0010773526737466,0.0,1.0,STOP
town7_002279.png,-0.1740758717060089,0.8500000238418579,0.0,LEFT
town7_006494.png,0.800000011920929,0.8500000238418579,0.0,RIGHT
town7_009596.png,-0.2429983615875244,0.0633158907294273,0.0,LEFT
town7_004592.png,-0.0573378205299377,0.0,1.0,STOP
town7_002277.png,-0.2662043273448944,0.0776780545711517,0.0,LEFT
town7_004668.png,-0.0573378205299377,0.0,1.0,STOP
town7_011589.png,0.800000011920929,0.8500000238418579,0.0,RIGHT
town7_011406.png,0.1046356782317161,0.8500000238418579,0.0,RIGHT
town7_011954.png,0.3476950228214264,0.5102970600128174,0.0,RIGHT
town7_004916.png,0.0,0.0,1.0,STOP
