Image File,Prediction (Before Masking),Prediction (After Masking)
town7_000127.png,STOP,GO
town7_000128.png,STOP,GO
town7_000129.png,STOP,GO
town7_000130.png,STOP,GO
town7_000139.png,STOP,GO
town7_000140.png,STOP,GO
town7_000252.png,STOP,GO
town7_000262.png,STOP,GO
town7_000263.png,STOP,GO
town7_000273.png,STOP,GO
town7_000691.png,STOP,GO
town7_000692.png,STOP,GO
town7_000695.png,STOP,GO
town7_000702.png,STOP,GO
town7_000704.png,STOP,GO
town7_000969.png,STOP,GO
town7_000971.png,STOP,GO
town7_000974.png,STOP,GO
town7_000979.png,STOP,GO
town7_000980.png,STOP,GO
town7_000981.png,STOP,GO
town7_001227.png,STOP,GO
town7_001228.png,STOP,GO
town7_001233.png,STOP,GO
town7_001236.png,STOP,GO
town7_001369.png,STOP,GO
town7_001462.png,STOP,GO
town7_001463.png,STOP,GO
town7_001616.png,STOP,GO
town7_001686.png,STOP,GO
town7_002115.png,STOP,GO
town7_002856.png,STOP,GO
town7_002862.png,STOP,GO
town7_002865.png,STOP,GO
town7_002867.png,STOP,GO
town7_002872.png,STOP,GO
town7_002874.png,STOP,GO
town7_002878.png,STOP,GO
town7_002882.png,STOP,GO
town7_003656.png,STOP,GO
town7_003658.png,STOP,GO
town7_003660.png,STOP,GO
town7_003663.png,STOP,GO
town7_003666.png,STOP,GO
town7_003719.png,STOP,GO
town7_003766.png,STOP,GO
town7_003897.png,STOP,GO
town7_003986.png,STOP,GO
town7_004110.png,STOP,GO
town7_004114.png,STOP,GO
town7_004116.png,STOP,GO
town7_004121.png,STOP,GO
town7_004123.png,STOP,GO
town7_004202.png,STOP,GO
town7_004336.png,STOP,GO
town7_005222.png,STOP,GO
town7_005224.png,STOP,GO
town7_005229.png,STOP,GO
town7_005581.png,STOP,GO
town7_005616.png,STOP,GO
town7_006096.png,STOP,GO
town7_006136.png,STOP,GO
town7_006387.png,STOP,GO
town7_006482.png,STOP,GO
town7_006575.png,STOP,GO
town7_006883.png,STOP,GO
town7_007003.png,STOP,GO
town7_007010.png,STOP,GO
town7_007162.png,STOP,GO
town7_007171.png,STOP,GO
town7_007172.png,STOP,GO
town7_007176.png,STOP,GO
town7_007494.png,STOP,GO
town7_007500.png,STOP,GO
town7_007505.png,STOP,GO
town7_008583.png,STOP,GO
town7_008641.png,STOP,GO
town7_008648.png,STOP,GO
town7_009576.png,STOP,GO
town7_011076.png,STOP,GO
town7_011106.png,STOP,GO
town7_011109.png,STOP,GO
town7_011313.png,STOP,GO
town7_011447.png,STOP,GO
town7_011593.png,STOP,GO
town7_012061.png,STOP,GO
