Category,Number of Images,Percentage (%)
Total Images,2422,100
Only Grid-Based Masking,59,2.44
Only LIME on Latent Features,0,0.00
Only LIME on Images,0,0.00
Only LIME on Latent NUN,658,27.17
Grid-Based + LIME on Latent Features,0,0.00
Grid-Based + LIME on Images,10,0.41
Grid-Based + LIME on Latent NUN,678,27.99
LIME on Latent Features + LIME on Images,0,0.00
LIME on Latent Features + LIME on Latent NUN,0,0.00
LIME on Images + LIME on Latent NUN,1,0.04
Grid-Based + LIME on Latent + LIME on Images,0,0.00
Grid-Based + LIME on Latent + LIME on Latent NUN,58,2.39
Grid-Based + LIME on Images + LIME on Latent NUN,792,32.70
LIME on Latent + LIME on Images + LIME on Latent NUN,0,0.00
All Four Methods,111,4.58
Not Explained by Any Method,55,2.27
